索引	类别	原始问	英语	分词
9457	life-insurance	人寿保险金是否纳税？	Does  Life  Insurance  Money  Get  Taxed?	人寿保险 金 是否 纳税
9458	life-insurance	人寿保险是否为自杀付款？	Does  life  insurance  pay  out  for  suicide?	人寿保险 是否 为 自杀 付款
9459	life-insurance	为什么需要人寿保险？	Why  Is  Life  Insurance  Needed?	为什么 需要 人寿保险
9460	long-term-care-insurance	长期护理保险金是多少？	How  Much  Is  The  Premium  For  Long  Term  Care  Insurance?	长期 护理 保险 金 是 多少
9461	home-insurance	家庭保险成本更高吗？	Does  Home  Insurance  Cost  More  With  A  Pool?	家庭 保险 成本 更高
9462	home-insurance	房主保险是否涵盖故意行为？	Does  Homeowners  Insurance  Cover  Intentional  Acts?	房主 保险 是否 涵盖 故意 行为
9463	life-insurance	人寿保险有现金价值吗？	Is  There  A  Cash  Value  On  Term  Life  Insurance?	人寿保险 有 现金 价值
9464	annuities	Dave Ramsey对可变年金说什么？	What  Does  Dave  Ramsey  Say  About  Variable  Annuities?	Dave Ramsey 对 可变 年金 说什么
9465	home-insurance	房主保险是否覆盖诽谤？	Does  Homeowners  Insurance  Cover  Defamation?	房主 保险 是否 覆盖 诽谤
9466	life-insurance	如果您患有帕金森病，您可以获得人身保险吗？	Can  You  Get  Life  Insurance  If  You  Have  Parkinson's  Disease?	如果 您 患有 帕金森病 您 可以 获得 人身保险
9467	auto-insurance	汽车保险的成本多少？	How  Much  Does  Auto  Insurance  Typically  Cost?	汽车保险 成本 多少
9468	medicare-insurance	医疗保险支付白内障手术多少钱？	How  Much  Does  Medicare  Pay  For  Cataract  Surgery?	医疗保险 支付 白内障 手术 多少 钱
9469	medicare-insurance	医疗保险B部分物理治疗？	Does  Medicare  Part  B  Cover  Physical  Therapy?	医疗保险 B 部分 物理 治疗
9470	life-insurance	我可以改变我的人寿保险受益人吗？	Can  I  Change  My  Life  Insurance  Beneficiary?	我 可以 改变 我 人寿保险 受益人
9471	life-insurance	士兵人身保险多少？	How  Much  Is  Life  Insurance  For  Soldiers?	士兵 人身保险 多少
9472	life-insurance	期限人寿保险是最好的？	Is  Term  Life  Insurance  The  Best?	期限 人寿保险 是 最好
9473	disability-insurance	在哪里购买残疾保险？	Where  To  Shop  For  Disability  Insurance?	在 哪里 购买 残疾 保险
9474	home-insurance	国家农场家庭保险有多好？	How  Good  Is  State  Farm  Home  Insurance?	国家 农场 家庭 保险 有 多 好
9475	long-term-care-insurance	什么是最佳长期护理保险公司？	What  Is  Best  Long  Term  Care  Insurance  Company?	什么 是 最佳 长期 护理 保险公司
9476	life-insurance	一个月多少人寿保险？	How  Much  Is  Life  Insurance  A  Month?	一个 月 多少 人寿保险
9477	life-insurance	当您从人寿保险中借钱时发生什么？	What  Happens  When  You  Borrow  From  Life  Insurance?	当 您 从 人寿保险 中 借钱 时 发生 什么
9478	auto-insurance	谁负责自动覆盖，如果有人偶尔驾驶另一辆车？	Who  Is  Responsible  For  Getting  Auto  Coverage  If  Someone  Occasionally  Drives  Another's  Car?	谁 负责 自动 覆盖 如果 有人 偶尔 驾驶 另 一 辆车
9479	medicare-insurance	我的配偶是否符合医疗保险？	Is  My  Spouse  Eligible  For  Medicare?	我 配偶 是否 符合 医疗保险
9480	home-insurance	家庭保险每年增加吗？	Does  Home  Insurance  Increase  Every  Year?	家庭 保险 每年 增加
9481	annuities	什么时候纳税？	When  Are  Annuities  Taxable?	什么 时候 纳税
9482	auto-insurance	600美元的财产损失赔偿要求会提高我的汽车保险费吗？	Would  A  $600  Property  Damage  Claim  Raise  My  Car  Insurance  Rates?	600 美元 财产损失 赔偿 要求 会 提高 我 汽车 保险费
9483	medicare-insurance	什么国家接受医疗保险？	What  Countries  Accept  Medicare?	什么 国家 接受 医疗保险
9484	renters-insurance	我可以要求租金保险吗？	Can  I  Require  Renters  Insurance?	我 可以 要求 租金 保险
9485	disability-insurance	残疾保险做什么？	What  Does  Disability  Insurance  Do?	残疾 保险 做 什么
9486	health-insurance	我没有为健康保险付出代价吗？	Will  I  Have  To  Pay  A  Fine  For  Not  Having  Health  Insurance?	我 没有 为 健康 保险 付出代价
9487	medicare-insurance	医疗保险覆盖了Rhinophyma？	Does  Medicare  Cover  Rhinophyma?	医疗保险 覆盖 Rhinophyma
9488	life-insurance	基本人寿保险涵盖什么？	What  Does  Basic  Life  Insurance  Cover?	基本 人寿保险 涵盖 什么
9489	long-term-care-insurance	如何购买长期医疗保险？	How  To  Buy  Long  Term  Healthcare  Insurance?	如何 购买 长期 医疗保险
9490	life-insurance	期限和永久人寿保险之间的区别是什么？	What  Is  The  Difference  Between  Term  And  Permanent  Life  Insurance?	期限 和 永久 人寿保险 之间 区别 是 什么
9491	home-insurance	房主保险是否覆盖珠宝损失？	Does  Homeowners  Insurance  Cover  Jewelry  Loss?	房主 保险 是否 覆盖 珠宝 损失
9492	disability-insurance	如何在线购买短期残疾保险？	How  To  Purchase  Short  Term  Disability  Insurance  Online?	如何 在线 购买 短期 残疾 保险
9493	medicare-insurance	谁是主要医疗保险或雇主保险？	Who  Is  Primary  Medicare  Or  Employer  Insurance?	谁 是 主要 医疗保险 或 雇主 保险
9494	health-insurance	健康保险交易的作用是什么？	What  Is  The  Role  Of  Health  Insurance  Exchange?	健康 保险 交易 作用 是 什么
9495	medicare-insurance	什么是医疗保险？	What  Is  An  Abn  Medicare?	什么 是 医疗保险
9496	auto-insurance	两人汽车保险多少钱？	How  Much  Is  Car  Insurance  For  Two  People?	两 人 汽车保险 多少 钱
9497	renters-insurance	为什么租客保险便宜？	Why  Is  Renters  Insurance  Cheap?	为什么 租客 保险 便宜
9498	life-insurance	联保人寿保险？	Is  Life  Insurance  Federally  Insured?	联保 人寿保险
9499	life-insurance	为什么我需要人身保险血液检测？	Why  Do  I  Need  A  Blood  Test  For  Life  Insurance?	为什么 我 需要 人身保险 血液 检测
9500	medicare-insurance	M是什么意思在医疗卡？	What  Does  M  Mean  On  Medicare  Card?	M 是 什么 意思 在 医疗卡
9501	medicare-insurance	妇科支气吗	Is  Gynecomastia  Covered  By  Medicare?	妇科 支气
9502	life-insurance	债权人可以获得人寿保险收入吗？	Can  Creditors  Access  Life  Insurance  Proceeds?	债权人 可以 获得 人寿保险 收入
9503	medicare-insurance	花费在医疗保险上多少钱？	How  Much  Does  It  Cost  To  Be  On  Medicare?	花费 在 医疗保险 上 多少 钱
9504	life-insurance	人寿保险是否进入遗产？	Does  Life  Insurance  Go  Into  Probate?	人寿保险 是否 进入 遗产
9505	disability-insurance	有偿家庭假被认为是残疾保险吗？	Is  Paid  Family  Leave  Considered  Disability  Insurance?	有偿 家庭 假 被 认为 是 残疾 保险
9506	health-insurance	你能把女朋友放在你的健康保险上吗？	Can  You  Put  A  Girlfriend  On  Your  Health  Insurance?	你 能 把 女朋友 放在 你 健康 保险 上
9507	medicare-insurance	由Medicare覆盖的囊肿清除？	Cyst  Removal  Is  It  Covered  By  Medicare?	由 Medicare 覆盖 囊肿 清除
9508	medicare-insurance	医疗保险优势是否替代原始医疗保险？	Does  Medicare  Advantage  Replace  Original  Medicare?	医疗保险 优势 是否 替代 原始 医疗保险
9509	medicare-insurance	在什么年龄我符合医疗保险资格？	At  What  Age  Do  I  Qualify  For  Medicare?	在 什么 年龄 我 符合 医疗保险 资格
9510	home-insurance	房主的保险盖车道维修？	Does  Homeowner's  Insurance  Cover  Driveway  Repair?	房主 保险 盖车道 维修
9511	medicare-insurance	什么时候医疗保险支付滑板车？	When  Will  Medicare  Pay  For  A  Scooter?	什么 时候 医疗保险 支付 滑板车
9512	medicare-insurance	医疗保险覆盖便携式氧气浓缩器？	Does  Medicare  Cover  Portable  Oxygen  Concentrators?	医疗保险 覆盖 便携式 氧气 浓缩器
9513	retirement-plans	哪里是退休的最佳地方？	Where  Is  The  Best  Place  To  Save  For  Retirement?	哪里 是 退休 最佳 地方
9514	life-insurance	人寿保险会多少费用？	How  Much  Will  Term  Life  Insurance  Cost  Me?	人寿保险 会 多少 费用
9515	life-insurance	内布拉斯加州的人寿保险福利？	Does  Nebraska  Tax  Life  Insurance  Benefits?	内布拉斯加州 人寿保险 福利
9516	annuities	年金可以转入IRA吗？	Can  An  Annuity  Be  Rolled  Over  Into  An  IRA?	年金 可以 转入 IRA
9517	life-insurance	你的配偶是否要成为人寿保险的受益人？	Does  Your  Spouse  Have  To  Be  Your  Beneficiary  For  Life  Insurance?	你 配偶 是否 要 成为 人寿保险 受益人
9518	medicare-insurance	医疗保险覆盖Hep B？	Does  Medicare  Cover  Hep  B?	医疗保险 覆盖 Hep B
9519	health-insurance	什么是孕妇健康保险？	What  Is  Good  Health  Insurance  For  Pregnant  Women?	什么 是 孕妇 健康 保险
9520	renters-insurance	进步卖家保险？	Does  Progressive  Sell  Renters  Insurance?	进步 卖家 保险
9521	life-insurance	我的母亲没有足够的保险来埋葬她。我可以拿出人身保险来支付费用吗？	My  Mother  Doesn't  Have  Enough  Insurance  To  Bury  Her.  Can  I  Take  Out  Life  Insurance  On  Her  To  Help  Pay  For  Expenses?	我 母亲 没有 足够 保险 来 埋葬 她 我 可以 拿出 人身保险 来 支付 费用
9522	medicare-insurance	什么时候注册B部分医疗保险？	When  To  Enroll  In  Part  B  Medicare?	什么 时候 注册 B 部分 医疗保险
9523	renters-insurance	租客保险是否自动续订？	Does  Renters  Insurance  Automatically  Renew?	租客 保险 是否 自动 续订
9524	critical-illness-insurance	为什么要获得重大疾病保险？	Why  Get  Critical  Illness  Insurance?	为什么 要 获得 重大 疾病 保险
9525	life-insurance	是否NJM个人提供人寿保险？	Does  NJM  Offer  Life  Insurance?	是否 NJM 个人 提供 人寿保险
9526	auto-insurance	我25岁的时候我的车险会下降吗？	Will  My  Car  Insurance  Drop  When  I  Turn  25?	我 25 岁 时候 我 车险会 下降
9527	auto-insurance	哪里可以找到最好的汽车保险？	Where  To  Find  The  Best  Car  Insurance?	哪里 可以 找到 最好 汽车保险
9528	renters-insurance	租客保险是否覆盖爆管？	Does  Renters  Insurance  Cover  Burst  Pipes?	租客 保险 是否 覆盖 爆管
9529	life-insurance	何时在全人寿保险中实现现金？	When  To  Cash  In  Whole  Life  Insurance  Policy?	何时 在 全 人寿保险 中 实现 现金
9530	health-insurance	需要多长时间才能获得健康保险？	How  Long  Does  It  Take  To  Get  Health  Insurance?	需要 多长时间 才能 获得 健康 保险
9531	health-insurance	什么是健康保险费率？	What  Is  A  Health  Insurance  Rate?	什么 是 健康 保险费率
9532	life-insurance	需要多长时间才能接受人身保险检查？	How  Long  Does  It  Take  To  Receive  A  Life  Insurance  Check?	需要 多长时间 才能 接受 人身保险 检查
9533	health-insurance	北达科他州的健康保险合格事件是什么？	What  Are  Qualifying  Events  For  Health  Insurance  In  North  Dakota?	北达科他州 健康 保险 合格 事件 是 什么
9534	life-insurance	人寿死亡人员如何收税？	How  Are  Life  Insurance  Death  Proceeds  Taxed?	人寿 死亡 人员 如何 收税
9535	critical-illness-insurance	残疾保险与重症疾病保险之间的区别是什么？	What  Is  The  Difference  Between  Disability  Insurance  And  Critical  Illness  Insurance?	残疾 保险 与 重症 疾病 保险 之间 区别 是 什么
9536	life-insurance	什么是第一人寿保险公司？	What  Is  The  Number  1  Life  Insurance  Company?	什么 是 第一 人寿保险 公司
9537	life-insurance	我需要什么定期人寿保险？	What  Term  Life  Insurance  Do  I  Need?	我 需要 什么 定期 人寿保险
9538	auto-insurance	事故后汽车保险增加多少？	How  Much  Does  Car  Insurance  Increase  After  An  Accident?	事故 后 汽车保险 增加 多少
9539	medicare-insurance	如何成为医疗保险补充剂？	How  To  Become  A  Medicare  Supplement  Agent?	如何 成为 医疗保险 补充剂
9540	auto-insurance	我要支付汽车保险费用？	What  Will  I  Pay  For  Car  Insurance?	我 要 支付 汽车 保险费用
9541	auto-insurance	汽车保险是否覆盖疼痛？	Does  Auto  Insurance  Cover  Pain  And  Suffering?	汽车保险 是否 覆盖 疼痛
9542	life-insurance	人寿保险经纪人做什么？	What  Does  A  Life  Insurance  Broker  Do?	人寿保险 经纪人 做 什么
9543	health-insurance	1099名员工可以获得健康保险吗？	Can  A  1099  Employee  Get  Health  Insurance?	1099 名 员工 可以 获得 健康 保险
9544	home-insurance	房主保险是否支付龙卷风的损失？	Does  Homeowners  Insurance  Pay  For  Tornado  Damage?	房主 保险 是否 支付 龙卷风 损失
9545	life-insurance	什么是人寿保险的价值？	What  Is  Paid  Up  Value  In  Life  Insurance?	什么 是 人寿保险 价值
9546	disability-insurance	谁提供最好的残疾保险？	Who  Offers  The  Best  Disability  Insurance?	谁 提供 最好 残疾 保险
9547	medicare-insurance	Xalatan由医疗保险覆盖吗？	Is  Xalatan  Covered  By  Medicare?	Xalatan 由 医疗保险 覆盖
9548	retirement-plans	雇主是否提供退休计划？	Does  An  Employer  Have  To  Offer  A  Retirement  Plan?	雇主 是否 提供 退休 计划
9549	home-insurance	家庭保险是否覆盖白蚁？	Does  Home  Insurance  Cover  Termites?	家庭 保险 是否 覆盖 白蚁
9550	medicare-insurance	如何获得家庭医疗保健？	How  To  Get  Home  Health  Care  Medicare?	如何 获得 家庭 医疗保健
9551	life-insurance	整个人寿保险是谁？	Is  Whole  Or  Term  Life  Insurance  Better?	整个 人寿保险 是 谁
9552	life-insurance	我可以借用我的整个人寿保险吗？	Can  I  Borrow  Against  My  Whole  Life  Insurance  Policy?	我 可以 借用 我 整个 人寿保险
9553	life-insurance	人寿保险是否需要按揭？	Is  Life  Insurance  Needed  For  A  Mortgage?	人寿保险 是否 需要 按揭
9554	home-insurance	如何获得家庭保险以支付新屋顶？	How  To  Get  Home  Insurance  To  Pay  For  New  Roof?	如何 获得 家庭 保险 以 支付 新 屋顶
9555	life-insurance	人寿保险是否是意志的一部分？	Is  Life  Insurance  Part  Of  A  Will?	人寿保险 是否是 意志 一部分
9556	life-insurance	如何开办人寿保险公司？	How  To  Start  A  Life  Insurance  Company?	如何 开办 人寿保险 公司
9557	medicare-insurance	医疗保险支付多少医院？	How  Much  Does  Medicare  Pay  For  Hospice?	医疗保险 支付 多少 医院
9558	medicare-insurance	医疗保险支付可调床	Will  Medicare  Pay  For  An  Adjustable  Bed?	医疗保险 支付 可调 床
9559	health-insurance	健康保险需要多长时间？	How  Long  Does  It  Take  To  Get  On  Health  Insurance?	健康 保险 需要 多长时间
9560	medicare-insurance	为什么医疗费用上涨？	Why  Are  Medicare  Costs  Rising?	为什么 医疗 费用 上涨
9561	annuities	什么是年金用于？	What  Are  Annuities  Used  For?	什么 是 年金 用于
9562	disability-insurance	我可以购买短期残疾保险吗？	Can  I  Purchase  Short  Term  Disability  Insurance?	我 可以 购买 短期 残疾 保险
9563	life-insurance	我可以在妈妈身上得到人寿保险吗？	Can  I  Get  Life  Insurance  On  My  Mom?	我 可以 在 妈妈 身上 得到 人寿保险
9564	life-insurance	取消普遍人寿保险会发生什么？	What  Happens  When  You  Cancel  Universal  Life  Insurance?	取消 普遍 人寿保险 会 发生 什么
9565	annuities	为什么年金好投资？	Why  Are  Annuities  A  Good  Investment?	为什么 年金 好 投资
9566	life-insurance	谁能谈谈人寿保险？	Who  Can  I  Talk  To  About  Life  Insurance?	谁 能 谈谈 人寿保险
9567	renters-insurance	租客保险是否包括医疗费用？	Does  Renters  Insurance  Cover  Medical  Bills?	租客 保险 是否 包括 医疗 费用
9568	medicare-insurance	医疗保险支付整形手术吗？	Will  Medicare  Pay  For  Plastic  Surgery?	医疗保险 支付 整形手术
9569	disability-insurance	产假是否受到残疾保险的限制？	Is  Maternity  Leave  Covered  By  Disability  Insurance?	产假 是否 受到 残疾 保险 限制
9570	life-insurance	定期人寿保险是否作为资产计算？	Does  Term  Life  Insurance  Count  As  An  Asset?	定期 人寿保险 是否 作为 资产 计算
9571	medicare-insurance	医疗保险支付护理家庭护理？	What  Does  Medicare  Pay  For  Nursing  Home  Care?	医疗保险 支付 护理 家庭 护理
9572	retirement-plans	在工作中退休计划意味着什么？	What  Does  It  Mean  To  Be  Covered  By  A  Retirement  Plan  At  Work?	在工作中 退休 计划 意味着 什么
9573	health-insurance	什么是健康保险生活变迁事件？	What  Qualifies  As  A  Life  Changing  Event  For  Health  Insurance?	什么 是 健康 保险 生活 变迁 事件
9574	life-insurance	国营农场提供人寿保险？	Does  State  Farm  Offer  Life  Insurance?	国营农场 提供 人寿保险
9575	health-insurance	什么是自雇最佳健康保险？	What  Is  Best  Health  Insurance  For  Self  Employed?	什么 是 自雇 最佳 健康 保险
9576	life-insurance	你如何在信托中写人寿保险？	How  Do  You  Write  Life  Insurance  In  A  Trust?	你 如何 在 信托 中 写 人寿保险
9577	life-insurance	在哪里可以找到全人寿保险？	Where  Can  I  Find  Whole  Life  Insurance?	在 哪里 可以 找到 全 人寿保险
9578	medicare-insurance	Obamacare将如何影响Medigap保险？	How  Will  Obamacare  Affect  Medigap  Insurance?	Obamacare 将 如何 影响 Medigap 保险
9579	disability-insurance	哪些国家有临时残疾保险？	Which  States  Have  Temporary  Disability  Insurance?	哪些 国家 有 临时 残疾 保险
9580	auto-insurance	为什么汽车保险这么昂贵的年轻车手？	Why  Is  Car  Insurance  So  Expensive  For  Young  Drivers?	为什么 汽车保险 这么 昂贵 年轻 车手
9581	health-insurance	什么健康保险涵盖胃旁路手术？	What  Health  Insurance  Covers  Gastric  Bypass  Surgery?	什么 健康 保险 涵盖 胃 旁路 手术
9582	auto-insurance	没有我的丈夫可以得到汽车保险吗？	Can  I  Get  Car  Insurance  Without  My  Husband?	没有 我 丈夫 可以 得到 汽车保险
9583	home-insurance	为什么房主的保险覆盖水淹？	Why  Doesn't  Homeowners  Insurance  Cover  Flooding?	为什么 房主 保险 覆盖 水淹
9584	home-insurance	什么是一些好的问题要求买房主保险？	What  Are  Some  Good  Questions  To  Ask  When  Buying  Homeowners  Insurance?	什么 是 一些 好 问题 要求 买 房主 保险
9585	disability-insurance	你从伤残保险中获得多少？	How  Much  Do  You  Get  From  Disability  Insurance?	你 从 伤残 保险中 获得 多少
9586	health-insurance	健康保险费用多少自费？	Much  Does  Health  Insurance  Cost  Self  Employed?	健康 保险费用 多少 自费
9587	life-insurance	人寿保险成长时会发生什么？	What  Happens  When  Life  Insurance  Policy  Matures?	人寿保险 成长 时会 发生 什么
9588	life-insurance	人寿保险给你多少钱？	How  Much  Money  Does  Life  Insurance  Give  You?	人寿保险 给 你 多少 钱
9589	disability-insurance	什么是自愿残疾保险？	What  Is  Voluntary  Disability  Insurance?	什么 是 自愿 残疾 保险
9590	life-insurance	吸烟无效人寿保险？	Does  Smoking  Void  Life  Insurance?	吸烟 无效 人寿保险
9591	disability-insurance	如何获得残疾无保险？	How  To  Get  Disability  With  No  Insurance?	如何 获得 残疾 无 保险
9592	home-insurance	国营农场做家庭保险吗？	Does  State  Farm  Do  Home  Insurance?	国营农场 做 家庭 保险
9593	retirement-plans	谁获得401K贷款利息？	Who  Gets  The  401K  Loan  Interest?	谁 获得 401 K 贷款 利息
9594	annuities	哪些是更好的共同基金或年金？	Which  Is  Better  Mutual  Funds  Or  Annuities?	哪些 是 更好 共同 基金 或 年金
9595	life-insurance	什么是人寿保险的典型价格？	What  Are  Typical  Rates  For  Life  Insurance?	什么 是 人寿保险 典型 价格
9596	disability-insurance	私人残疾保险多久？	How  Long  Does  Private  Disability  Insurance  Last?	私人 残疾 保险 多久
9597	life-insurance	谁能拥有人寿保险？	Who  Can  Own  A  Life  Insurance  Policy?	谁 能 拥有 人寿保险
9598	life-insurance	你有多少人寿保险计划？	How  Many  Life  Insurance  Plans  Can  You  Have?	你 有 多少 人寿保险 计划
9599	health-insurance	如果共和党人当选总统，奥巴马克呢？	Will  Obamacare  Go  Away  If  A  Republican  Gets  Elected  As  President?	如果 共和党人 当选 总统 奥巴马克
9600	health-insurance	可以替代教师获得健康保险吗？	Can  Substitute  Teachers  Get  Health  Insurance?	可以 替代 教师 获得 健康 保险
9601	life-insurance	如果您被谋杀，人寿保险是否支付？	Does  Life  Insurance  Pay  If  You  Are  Murdered?	如果 您 被 谋杀 人寿保险 是否 支付
9602	disability-insurance	纽约生活卖残疾保险吗？	Does  New  York  Life  Sell  Disability  Insurance?	纽约 生活 卖 残疾 保险
9603	life-insurance	变数人寿保险如何运作？	How  Does  Variable  Universal  Life  Insurance  Work?	变数 人寿保险 如何 运作
9604	life-insurance	人寿保险期满是什么意思？	What  Exactly  Does  Life  Insurance  Maturity  Mean?	人寿保险 期满 是 什么 意思
9605	life-insurance	考虑人寿保险问题？	Questions  To  Ask  When  Considering  Life  Insurance?	考虑 人寿保险 问题
9606	renters-insurance	租金保险费用多少？	How  Much  Does  The  Renters  Insurance  Cost?	租金 保险费用 多少
9607	auto-insurance	全面覆盖汽车保险盖租车？	Does  Full  Coverage  Auto  Insurance  Cover  Rental  Cars?	全面 覆盖 汽车保险 盖租 车
9608	medicare-insurance	在什么年龄可以得到医疗保险？	At  What  Age  Can  I  Get  Medicare?	在 什么 年龄 可以 得到 医疗保险
9609	auto-insurance	我可以在汽车保险上多少钱？	How  Much  Can  I  Expect  To  Pay  In  Car  Insurance?	我 可以 在 汽车保险 上 多少 钱
9610	retirement-plans	什么类型的退休计划是最好的？	What  Type  Of  Retirement  Plan  Is  Best?	什么 类型 退休 计划 是 最好
9611	annuities	我需要了解哪些年金？	What  Do  I  Need  To  Know  About  Annuities?	我 需要 了解 哪些 年 金
9612	life-insurance	人寿保险考试包括什么？	What  Does  A  Life  Insurance  Exam  Consist  Of?	人寿保险 考试 包括 什么
9613	annuities	年金如何支付？	How  Do  Annuities  Pay?	年金 如何 支付
9614	life-insurance	谁不应该买人寿保险？	Who  Should  Not  Buy  Life  Insurance?	谁 不 应该 买 人寿保险
9615	renters-insurance	租客保险是否涵盖两个人？	Does  Renters  Insurance  Cover  Two  People?	租客 保险 是否 涵盖 两 个 人
9616	renters-insurance	公寓租赁保险涵盖什么？	What  Does  Apartment  Renters  Insurance  Cover?	公寓 租赁 保险 涵盖 什么
9617	home-insurance	为什么房主保险上涨？	Why  Homeowners  Insurance  Goes  Up?	为什么 房主 保险 上涨
9618	auto-insurance	当有人死亡时，汽车保险怎么办？	What  Happens  To  Car  Insurance  When  Someone  Dies?	当 有人 死亡 时 汽车保险 怎么办
9619	life-insurance	我可以借用我的人寿保险吗？	Can  I  Borrow  From  My  Life  Insurance?	我 可以 借用 我 人寿保险
9620	renters-insurance	业主可否要求租金保险？	Can  A  Landlord  Require  Renters  Insurance?	业主 可否 要求 租金 保险
9621	medicare-insurance	医疗保险优势计划会发生什么？	What  Will  Happen  To  Medicare  Advantage  Plans?	医疗保险 优势 计划 会 发生 什么
9622	auto-insurance	汽车保险是否下降？	Does  Auto  Insurance  Go  Down?	汽车保险 是否 下降
9623	home-insurance	你可以在你的税上写下家庭保险吗？	Can  You  Write  Off  Home  Insurance  On  Your  Taxes?	你 可以 在 你 税 上 写下 家庭 保险
9624	auto-insurance	一家保险公司何时合计一辆车？	When  Does  An  Insurance  Company  Total  A  Car?	一家 保险公司 何时 合计 一 辆车
9625	other-insurance	谁就能得到USAA保险？	Who  Can  Get  USAA  Insurance?	谁 就 能 得到 USAA 保险
9626	medicare-insurance	谁可以访问我的医疗记录？	Who  Can  Access  My  Medicare  Records?	谁 可以 访问 我 医疗 记录
9627	annuities	固定收入年金如何工作？	How  Do  Fixed  Income  Annuities  Work?	固定收入 年金 如何 工作
9628	health-insurance	健康保险是否支付眼镜？	Does  Health  Insurance  Pay  For  Glasses?	健康 保险 是否 支付 眼镜
9629	long-term-care-insurance	长期护理保险支付多少？	How  Much  Does  Long  Term  Care  Insurance  Pay?	长期 护理 保险 支付 多少
9630	annuities	为什么不像年金这样的帅哥？	Why  Doesn't  Suze  Orman  Like  Annuities?	为什么 不 像 年金 这样 帅哥
9631	life-insurance	是可续期的人寿保险吗？	Is  Term  Life  Insurance  Renewable?	是 可 续期 人寿保险
9632	life-insurance	死亡后如何找人寿保险？	How  To  Find  Life  Insurance  Policies  After  Death?	死亡 后 如何 找 人寿保险
9633	life-insurance	我可以购买多少人寿保险？	How  Much  Term  Life  Insurance  Can  I  Buy?	我 可以 购买 多少 人寿保险
9634	life-insurance	为什么人寿保险不被视为赔偿保险？	Why  Is  Life  Insurance  Not  Considered  As  Indemnity  Insurance?	为什么 人寿保险 不 被 视为 赔偿 保险
9635	disability-insurance	谁应该购买残疾保险？	Who  Should  Purchase  Disability  Insurance?	谁 应该 购买 残疾 保险
9636	auto-insurance	哪些工作影响汽车保险？	Which  Jobs  Affect  Car  Insurance?	哪些 工作 影响 汽车保险
9637	health-insurance	谁投诉我的健康保险公司？	Who  Do  I  Complain  To  About  My  Health  Insurance  Company?	谁 投诉 我 健康 保险公司
9638	medicare-insurance	医疗保险优势与Medigap之间的区别是什么？	What  Is  The  Difference  Between  Medicare  Advantage  And  Medigap?	医疗保险 优势 与 Medigap 之间 区别 是 什么
9639	life-insurance	什么是最佳永久人寿保险？	What  Is  The  Best  Permanent  Life  Insurance  Policy?	什么 是 最佳 永久 人寿保险
9640	life-insurance	普遍人寿是坏的吗？	Is  Universal  Life  Insurance  Bad?	普遍 人寿 是 坏
9641	life-insurance	你能得到人寿保险的现金价值吗？	Can  You  Get  The  Cash  Value  Of  A  Life  Insurance  Policy?	你 能 得到 人寿保险 现金 价值
9642	long-term-care-insurance	什么是获得长期护理保险的最佳时代？	What  Is  The  Best  Age  To  Get  Long  Term  Care  Insurance?	什么 是 获得 长期 护理 保险 最佳 时代
9643	home-insurance	为什么家庭保险费率上涨？	Why  Home  Insurance  Rates  Increase?	为什么 家庭 保险费率 上涨
9644	health-insurance	什么是健康保险公司？	What  Are  Good  Health  Insurance  Companies?	什么 是 健康 保险公司
9645	annuities	固定和可变年金之间的差异是什么？	What  Is  The  Difference  Between  Fixed  And  Variable  Annuities?	固定 和 可变 年金 之间 差异 是 什么
9646	annuities	年金有多少？	How  Much  Are  Annuities?	年金 有 多少
9647	home-insurance	房主保险支付死树去除？	Will  Homeowners  Insurance  Pay  For  Dead  Tree  Removal?	房主 保险 支付 死 树去除
9648	life-insurance	全人寿保险多少？	How  Much  Is  Whole  Life  Insurance?	全 人寿保险 多少
9649	auto-insurance	没有SSN可以获得汽车保险吗？	Can  I  Get  Car  Insurance  Without  A  SSN?	没有 SSN 可以 获得 汽车保险
9650	annuities	你如何投资年金？	How  Do  You  Invest  In  Annuities?	你 如何 投资 年金
9651	long-term-care-insurance	什么是合格的长期护理保险？	What  Is  A  Qualified  Long  Term  Care  Insurance?	什么 是 合格 长期 护理 保险
9652	disability-insurance	什么是Metlife残疾保险？	What  Is  Metlife  Disability  Insurance?	什么 是 Metlife 残疾 保险
9653	disability-insurance	哪些国家有国家残疾保险？	Which  States  Have  State  Disability  Insurance?	哪些 国家 有 国家 残疾 保险
9654	auto-insurance	E意味着汽车保险是什么？	What  Does  The  E  Mean  On  Car  Insurance?	E 意味着 汽车保险 是 什么
9655	life-insurance	PPI盖寿险吗？	Does  PPI  Cover  Life  Insurance?	PPI 盖 寿险
9656	life-insurance	什么是简化发行人寿保险？	What  Is  Simplified  Issue  Life  Insurance?	什么 是 简化 发行 人寿保险
9657	renters-insurance	租客保险是否保护业主？	Does  Renters  Insurance  Protect  The  Landlord?	租客 保险 是否 保护 业主
9658	life-insurance	人寿保险是否影响信用评分？	Does  Life  Insurance  Affect  Credit  Score?	人寿保险 是否 影响 信用 评分
9659	health-insurance	平均家庭支付健康保险多少钱？	How  Much  Does  The  Average  Family  Pay  For  Health  Insurance?	平均 家庭 支付 健康 保险 多少 钱
9660	life-insurance	购买期限和投资差别比现金价值人寿保险好吗？	Is  Buying  Term  And  Investing  The  Difference  Better  Than  Cash  Value  Life  Insurance?	购买 期限 和 投资 差别 比 现金 价值 人寿保险 好
